Kinase,Dataset,Validity,Uniqueness,Diversity,Novelty,Recovery/Frag,Recovery/Scaf,Active_rate,Success_rate
ALK,Davis,1,0.992,0.935,0.817,0.109,0,1,0.839
CDK2,Davis,1,0.999,0.896,0.54,0.208,0.002,1,0.82
CDK4,Davis,1,0.996,0.914,0.652,0.191,0.001,1,0.695
CDK6,Davis,1,1,0.882,0.55,0.128,0,1,0.837
CDK9,Davis,1,1,0.905,0.569,0.161,0,1,0.798
EGFR,Davis,1,1,0.896,0.539,0.199,0.014,1,0.838
LRRK2,Davis,1,0.994,0.934,0.853,0.098,0,1,0.87
PIK3CA,Davis,1,1,0.927,0.697,0.204,0.002,1,0.782
PIK3CD,Davis,1,1,0.934,0.722,0.209,0.001,1,0.792
PIK3CG,Davis,1,0.999,0.927,0.758,0.158,0.003,1,0.834
ROCK1,Davis,1,0.999,0.937,0.74,0.101,0,1,0.797
ROCK2,Davis,1,0.999,0.932,0.736,0.141,0.002,1,0.828
BRAF,Davis,1,1,0.908,0.509,0.155,0.001,1,0.864
mTOR,Davis,1,1,0.924,0.746,0.142,0.001,1,0.806
JAK1,Davis,1,0.994,0.936,0.73,0.204,0.001,1,0.771
JAK2,Davis,1,0.993,0.926,0.784,0.209,0.001,1,0.833
JAK3,Davis,1,0.994,0.918,0.748,0.207,0.002,1,0.854
ALK,Davis-specific ,1,0.999,0.932,0.715,0.109,0.001,1,0.848
CDK2,Davis-specific ,1,1,0.942,0.729,0.179,0.003,1,0.814
CDK4,Davis-specific ,1,1,0.96,0.759,0.105,0.002,1,0.869
CDK6,Davis-specific ,1,0.999,0.953,0.782,0.067,0,1,0.795
CDK9,Davis-specific ,1,0.999,0.942,0.732,0.23,0.001,1,0.71
EGFR,Davis-specific ,1,0.999,0.956,0.729,0.217,0.005,1,0.791
LRRK2,Davis-specific ,1,0.997,0.943,0.802,0.083,0,1,0.869
PIK3CA,Davis-specific ,1,1,0.934,0.705,0.253,0.002,1,0.792
PIK3CD,Davis-specific ,1,1,0.931,0.658,0.207,0.001,1,0.869
PIK3CG,Davis-specific ,1,1,0.946,0.748,0.195,0.002,1,0.822
ROCK1,Davis-specific ,1,1,0.951,0.828,0.144,0,1,0.888
ROCK2,Davis-specific ,1,1,0.954,0.701,0.152,0.002,1,0.849
BRAF,Davis-specific ,1,1,0.95,0.753,0.126,0.002,1,0.903
mTOR,Davis-specific ,1,0.999,0.97,0.845,0.199,0,1,0.729
JAK1,Davis-specific ,1,0.999,0.892,0.582,0.182,0,1,0.857
JAK2,Davis-specific ,1,1,0.935,0.664,0.266,0.003,1,0.847
JAK3,Davis-specific ,1,0.999,0.904,0.63,0.223,0.002,1,0.779
ALK,Davis-all,1,1,0.967,0.747,0.092,0,1,0.913
CDK2,Davis-all,1,1,0.963,0.712,0.152,0.005,1,0.861
CDK4,Davis-all,1,1,0.97,0.809,0.118,0.001,1,0.917
